ID_COMMENT,ID_BOOK,ID_USER,RATE,DATE_POST,REVIEW_CONTENT
26,10925109,697825,3,May 30 2018,"""Many people are afraid of sadness, but I'm not one of them. I'm only afraid of boredom. Sadness, in that respect, is an excellent remedy, since it expands to fill almost any void."""
27,10925109,2741863,4,Aug 13 2018,I’m not into his writing but the stories are lovely and relatable
28,10925109,6267860,5,Aug 28 2018,"Underneath the collection of his silly childhood memories is the call that sometimes, behaving like a child is not a bad idea for many adults"
29,10925109,9369469,5,Feb 17 2019,The story of childhood makes me feel like I grew up
30,10925109,6691329,5,Mar 09 2019,"the book is bold, pure, easy-understanding and nostalgic which reminded me of all the good old days, of my childhood."
31,11273677,7483306,5,Dec 18 2019,"People love it because it's realistic. A good novel doesn't always have to have perfect characters. If you like perfect characters that much, you should read ""The Notebook"". Yes, Ngạn sounds like a loser, Hà Lan must be a utilitarian girl, Dũng is an f-boy. But that's why this story could have touched so many people- because it's realistic and it's relatable. We don't need to be Olympian Gods to love, to hate, to have meaningful memories and bitter experiences. Ngạn, as I said- is just a below-average guy, but his loyalty with Ha Lan can be seen as the symbol for a type of love that so many people on earth have experienced: the innocent, no self-interest emotions toward your crush, your first love. Sometimes this type of love is harmful to both of the parties, but it's love regardless and that's why Ngạn's emotion toward Hà Lan in this novel should be seen with empathy even if it's not rational at all. Hà Lan can be observed as a typical beautiful girl who changed her environment from rural to urban. By choices, she could drive her life into some very different directions - she could either become independent and be happy, or her fate could also be very painful and miserable. Nguyễn Nhật Ánh made her make a choice and we should not criticise it, but to learn from her decision's consequences. Furthermore- About Dũng, I don't think he's that bad. Yeah, he's pretty bad, but in this novel, he represents the guys who are young, rich and have nothing to worry about in their whole life. Guys like that can be carefree, heartless or they can be seen by some people as cruel but it's a sad fact of life and there is little thing we can do about it other than protecting and improving ourselves. And lastly, Trà Long- a cute girl with all the good traits, but turns out to be just an identical replacement of someone else. It's bitter and it's hard to accept, but then again it's realistic. Trust me, if you dive deep enough into love, someday you may find yourself- or your partner is just the replacement for a ghost of the past. But I hope that you all won't have to live your whole life in that miserable role, and that's what Nguyễn Nhật Ánh are trying to say to us, by introducing the story of Ngạn and Trà Long. So, did you see? ""Mắt biếc"" is not a perfect love story, not even a good story. But it's a great novel about the love and the life of young Vietnamese people in the 60s (or 70s). The emotions in the novel are real, and I think that not only you and me, or people nowadays but also people in the future can feel related to it. Because it's love, and love is eternal."
32,11273677,5098235,2,Mar 02 2019,"Just read it to be ready for the upcoming movie :)). Couldn’t undertand why people like it so much. Ha Lan is questionable, Ngan is quite romantically dumb, and poor Tra Long, her whole existence is just a replacement. The eye is not well described so i couldn’t imagine how beautiful it was. The writing style is simple and easy to read but could not trigger much feelings nor imagination. "
33,11273677,962299,1,Jul 05 2020,"OK THIS IS THE WORST BOOK I'VE EVER READ WOMEN'S RIGHTS-sadboy romanticizes childhood love and pines after her for the rest of his life-raises her daughter from another dude-FALLS IN LOVE WITH DAUGHTER????-leaves bc that's fucked up -other themes of like modern city life vs. tradition and love for your rural hometown, but also like dude is so uselessly sad and creepy im writing the synopsis bc no one else is going to read this book but damn! women's rights"
34,11273677,7173749,3,Dec 05 2019,"I am not a fan of NNA. Personally, his storyline usually doesn't touch my feeling, it 's boring and safe. But I highly appreciate his writing style, he exclusively creates a combination of bitness and sweetness, all-ages story. Maybe, I am a picky person who tries hard to find something more profound. The senses appearing through his language description such as Vietnam village, humans, and traditional culture are very beautiful and real as much as make us feel like we daily meet it somewhere. ""Mat biec"" is not an exception. The story is about an unresponded-love, the boy meets a girl with ""dreamy eyes"" since their childhood. And he still keeps this untold-love inside, after 20 years later, and witnesses the girl becomes a woman and a single mom. Even though I just have read it because of the incoming movie. The trailer and soundtracks hit my feeling so harsh. One more time, I fall in love with his writing style, not the contents."
35,11273677,3555025,3,Dec 08 2019,"I almost threw my Kindle across the room (lol) for the characters in the story angered me. But that also meant it was a great book, as it was capable of evoking emotions from readers. I think it was tragic. It was tragic because Nguyen Nhat Anh didn't give readers a happy ending, but it was more tragic because of the choices the characters made - choices that defy logic (hence the tableflip).That said, I think this is an important story. A story that illustrates how one can get really consumed in feelings, and the choices one makes can have a deep, lasting impact on others, sometimes for the rest of their lives."
36,11273677,4278654,3,Jun 11 2019,Love is blind. I like it how NNA made his point so clear... until Tra Long. The later chapters and the ending are pretty rushed.
37,11273677,6460286,4,Jul 28 2019,"The first story of Nguyen Nhat Anh that I have ever read, it affects to my feeling a lot. This is attravctive by the characters’ inner feeling expression words, once read, can not quit. Full emotion however unhappy ending, with others, it is a happy one but to me, it was not, unfair for Ngạn."
38,11273677,2319250,1,Dec 23 2019,"I hate this god forsaken novel with a passion. The main character is passive. So passive that it makes the who story unreadable. Ngan doesn't have much substance besides he ""love Ha Lan"" and he knows how to play the guitar (a bit). I'm sorry but that doesn't make a main charater interesting or compelling. The main character's obssession with Ha Lan is also horribly written. He barely knows the girl. Is this obssession even healthy or justified? Not once on the book was the reader shown what makes Ha Lan so special besides her dreamy eyes. The story is bland, poorly developed, the characters have no substance and the twists are ludicrous. Very typical of young adult novels. Don't waste your time. Read something else."
39,11273677,5070532,5,Mar 07 2019,"saddest book I've ever read, but also one of the best books."
40,11273677,2780072,5,Jan 18 2014,saddest book I ever read
41,11273677,5347248,5,Dec 27 2019,"Honestly, I had not had a strong inclination for cheesy romantic, so it was not appealing to me at first. However, I decided to give it a chance as this book was one of the most successful books of Nguyen Nhat Anh. When I closed the book, I had mixed feelings for it, disliking it and falling for it at the same time. I could not stand the content of the book (to be honest). Specifically, I was shocked a little bit when Tra Long fell for Ngan while he was the one who took care of her since she was a child. I felt that it did not follow the sensible logic that Tra Long should respect Ngan as an uncle (or maybe a farther) instead of being in love with him. Moreover, Nguyen Nhat Anh spent too many pages describing the childhood of the protagonists while the scene that Ngan decided to leave Do Do was so short. This bizarre and out of box ending disappointed me because I expected Ngan to straightly deal with the problems instead of giving in and running away without saying a word (yes he left a letter for Tra Long but I was not satisfied) :) While there were many factors turning me down, I still gave a 5 star for Mat Biec as I was extremely in love with Nguyen Nhat Anh's writing style. He created the story for all ages and it is easy to digest. His writing completely touched my heart. The daily life of Vietnamese people appearing through his language description was light and touching. Nguyen Nhat Anh was such a talented writer who could turned a basic (yet bizarre) storyline into a poignant novel. To me, Mat Biec could be compared to bright-coloured candies for the mind after a day full of anxiety. I have seen the movies twice and I would love to see it more. The cast, the movie scene, the music were beyond my expectations. I was so impressed with Tran Nghia as he truly captured the feeling of Ngan. If you have not watched the movies, go for it!"
42,11273677,9798985,4,Dec 14 2019,"** spoiler alert **           Summary:The book about the unconditional, endless, unfathomable love of a boy for a girl. Yet, It does not turn out euphorically. It all starts with the innocent and eventful childhoods of both the protagonist and his lover. They went to the same primary school, sit next to each other for the entirety of it, then went to the same secondary school and ended up at different high schools. Our miserable protagonist has perpetually had a mountainous rush for his childhood friend. Got into countless fights just to get a dropped fruit for his crush,... Unfortunately, she did not any feeling even just a mild one for him. Instead, she fell for his reckless, unfaithful cousin and got pregnant. Eventually, the kid she bore was single-handedly raised by the miserable protagonist, she finally got married to a third man she had ever dated. Our protagonist was initially thought to end up with the daughter of his lover (ye, it does sound kinda bizarre). Surprisingly, he realized the daughter was just some sort of a replacement for her mother thus deciding to flee the absolutely pathetic scene. What a shame for everyone in the story.Then comes my reviewIt's heart-breaking, depressing yet so pathetic. By pathetic, I mean the main character is truly pathetic. But who am I to judge nonetheless? People can get even blinders when it comes to love. He is merely just yet another victim of infatuated love. He literally fell for someone and eternally trapped into the hole he fell in. Knowing that his love will never be returned, he persisted in tremendously love that person. What a pity! Well, in short, definitely recommend this one to the others but I certainly would not say that this is the best romantic novel I have ever read."
43,11273677,10710887,3,Dec 21 2019,"** spoiler alert **           A mixture of fiction and literature?!All character traits made me angry when I just finished the story. Ngan - the male protagonist is an unreal figure. He sacrificed everything for what he called love, an untold and unresponding love for Ha Lan. Despite bitter experience, his love remained unchanged and in the end, he left Tra Long - Ha Lan’s daughter who was tried to heal his broken heart by her unconditional love. It might be fine if others are also built with impracticable character like Ngan. But it’s not. Ha Lan was questionable with both wisdom to take advantage of Ngan knowing his feeling and stupidity to not avoid Dung - a f guy. Tra Long’s appearance and her emotion to Ngan made me consider it as incest situation. And it seem like a young adult who couldn’t decide exactly her own life have to pay for her mother’s owe. While this mother was trying to date other guy.But when I calm down to think about the books, I like the way NNA describes the beauty old day in villages, and the temptation of city lights. It’s good.And the film scene is gorgeous!"
44,11273677,7650736,5,Oct 07 2019,"I have known about Nguyen Nhat Anh for a long time, but not much about his works. Only when I read mat biec did I realize the beauty of Nguyen Nhat Anh’s works. I could not stop reading because the inexplainable feelings carried by the story kept running inside my heart. I read the book from the beginning until the end. And somewhere in mat biec, I see my self, I lived my childhood once again because I used to love, love passionately like Ngan. After reading mat biec, I love Vietnamese more, I love my country more."
45,11273677,6475599,5,Feb 08 2017,"one of the most painful love stories i had ever read T___T why Ngan sacrificed his life for his first love but still didn't have happiness? :((( i didn't know how many times i cry for him, a real man.I remember some sentences in one of his songs which he wrote for Ha Lan ( maybe i don't remember every words =)) ) "" ... và những chàng trai thật thà tốt bụngyêu emchỉ cần bằng một nửa anh thôi ""I really need one man loving me like Ngan loves Ha Lan :("
46,11273677,6598669,4,Mar 18 2018,"A first half of book is so interesting, but when I close this book, I feel fuckin sad. I can't stand the end of this love story. Although they had a pure chilhood, adulthood many things changed. Lots of sentences have rhythym like a poem, the author was good at understanding thinking and feeling of charaters"
47,11273677,9729340,5,Jun 09 2019,"A Vietnamese novel and execlusively made for Vietnamese who has or used to have an unresponding love. Personally, i think this is a book who can read by all ages. The story was sad but beautiful, and the author, a master in this type, he created a story of all-age and i think from my subjective view this is one of his best book he has ever written."
48,11273677,4620808,5,Jul 12 2019,"another love story from my fav author! This one is longer, he went further with his writing, brought his characters, who could go longer in their stories. But it is truly painful, obsessed and heartbreaking. All the beautiful love stories should end by ""drifting-apart"" even they paid all life."
49,11273677,10928591,5,Jan 29 2020,"Ngan's priceless love to Ha Lan has been a beautiful symbol of the truly love. Depends on each one's thoughts about the masterpiece, they themselves may discover some interesting emotional experiences in childhood's love of a dreamer like Ngan... The empathy may occur if you had a very nice experience similar before."
50,11273677,4573013,3,Mar 11 2020,"Non-SpoilerI went in with high expectations because of all the hype around the book and the movie, but I finished feeling unimpressed. It was an okay read with nice moments here and there that reminded me of my childhood. As for the romance, I wish they would have just confront each other and communicate with each other rather than how it went down in the book."
51,11273677,6715963,4,Jun 12 2017,"This is the second time I read this book. It's a romantic story with sad ending.Actually, I feel sometime the leading character ""Ngạn"" is as same as me.I remember that I set this book like a present for my lovely girl when we were in university.Any way, I be so deep by this book."
52,11273677,8528727,5,May 27 2019,"One of the best book I have ever read from Nguyễn Nhật Ánh. The book tells the story of a love lasting through many years from the main character to his girl friend. The love lasts even more than one generation, lasts through many changes in people lives."
53,11273677,5249575,5,Jul 06 2019,Wonderful books !!! This book is so touching and appealing that I read a whole book in one day. ( my new record). The story is delicately presented and has a surprising yet reasonable ending. It also reminds me of my grandma strongly. Recommend for someone to read it this summer.
54,11273677,5156908,3,Dec 21 2019,"I think the final decision of Ngan is right, It make sense that Ngan is probably is grow up through 30 years of the lovesick with Ha Lan. And I guest that he could find out the answer for what his wonder, ""Is love Forgiveness or Selfish?"""
55,11273677,8592172,5,Jan 06 2020,"Sometimes in life there are things we want but cannot have. Therefore, we must try to overcome difficulties and seek new opportunities. The past has passed the present and the future is what we need to look at. A sad but very good love story."
56,11273677,11290508,3,Apr 09 2020,"First time reading Nguyen Nhat Anh book with a desperate plot, the only answer for unrequited love is that they are not meant for one another. Yet his soaring wording elicits warm feelings and inspires awe afterall:red_heart_selector:"
57,11273677,7059340,5,Nov 13 2017,"An emotional story about Vietnamese country, love and memories"
58,11273677,6664672,5,Nov 23 2018,Too sad!!
59,11273677,8240014,4,Mar 07 2019,The best book I'd ever read of NNA's book.
60,11273677,9500924,5,Mar 20 2019,This book is my most favourite among NNA's books! Love everything about it!
61,10433999,4193606,2,Jan 04 2016,"Không hay như tưởng tượng. Càng đọc càng thấy chán và cứ thấy dài lê thê. Cốt truyện cứ nhạt nhạt, như mấy truyện khác của NNA. Thực ra mình chỉ mới đọc có 4 cuốn của chú Ánh (kể cả cuốn này) và mình chưa cảm thấy hợp được cuốn nào. Trong truyện này, mình cứ có cảm giác tác giả cứ cố nhét vào những chi tiết gay cấn vào nhưng lại mở nút quá nhanh nên làm mình thấy cụt hứng, kiểu chưa kịp bất ngờ đã hết rồi. Và truyện nó cứ bị ảo ảo, kiểu như bị làm quá lên ấy. Lúc đầu mình thấy rất cảm động tình thương của Tường với anh, nhưng càng lúc càng thấy tình thương đó như bị lý tưởng hóa, không được thật cho lắm. À nói về chuyện ảo, nhất là cái đoạn kết ấy, trời ơi, quá ảo. :((Mình cho 2 sao vì mình thích 2 anh em Tường và Thiều ở phần đầu truyện, nhất là khúc Tường liều mạng đánh nhau với Sơn vì anh Hai. :) Ở đoạn đầu, mình thấy những tâm tư của Thiều trẻ con, và có thể thông cảm, và thấy thương Tường. Nhưng càng về sau, mình không thể chấp nhận được những hành động của Thiều, nhất là đoạn Thiều đánh em. Có thể ghen tuông vô cớ trẻ con nông nổi nhưng sao có thể đánh em mình ra nông nỗi liệt giường như vậy. Không thể lấy lý do là trẻ con nhỏ dại mà không nhận trách nhiệm được."
62,10433999,8177084,3,Mar 24 2019,"mình khá ngạc nhiên là mình thích cuốn này hơn mình nghĩ ( về trước đấy có nhiều bạn cx chê cuốn này hơi nhạt) nên mình khá ngạc nhiên là cuốn này không hề nhạt như nhiều người vẫn đồn, có rất nhiều chi tiết hay trong truyện và sâu sắc trong truyện này, sâu sắc theo một cách rất người lớn mà khiến cho cuốn này có sự khác biệt nhất định so với các tác phẩm khác của bác ánh. Lúc đọc 2/3 cuốn này mình nghĩ cuốn này xứng đáng 4 sao những vẫn giống như truyện Cho tôi một vé đi tuổi thơ, mình K THÍCH cái kết, cảm giác bị đơn giản quá ?? kiểu underwhelming k biết diễn tả thế nào?? Nhưng thực sự nv em trai Tường xứng đáng là ngôi sao của cuốn truyện này, mình sẽ review chi tiết hơn trong một clip sắp tới nhaaa"
63,10433999,4429034,-1,Jun 26 2015,"Giữa con cóc tía và cô tiên xanh thì mình thích con cóc tía hơn. Cô tiên xanh giúp thằng Tường đi chạy lại được gượng ép quá. Ai làm anh, làm chị đọc truyện này xong giật mình. Còn ai làm em thì cũng muôn phần được xả nỗi tức tối: ""Rõ là không có đứa anh, đứa chị nào biết tốt với em mình."" Con nít thích nhau dễ thương thế mà người lớn cứ thích cấm. Nhưng, biết đâu, nếu không cấm thì lại hết cả những điều dễ thương?""Con Mận đón lấy cuốn tập, giọng cảm động:-Sao dạo này bạn tốt với mình thế?Tôi cười hì hì:-Tao tốt với mày lâu rồi, tại mày ng... ng...Tôi tính nói: ""Tại mày ngu nên mày không biết đó thôi."", nhưng đến phút chót tôi tốp lại kịp. Nhưng con Mận đâu có ngu như tôi vẫn mắng nó. Nó nhìn tôi cười méo xẹo:-Tại mình ngu nên không nhận ra hở?""Trời ơi! Đọc cái truyện này xong bị yêu mấy bạn hiền hiền, ngơ ngơ hay bị bọn to đầu bắt nạt quá chừng. Thương thằng Tường quá chừng! Muốn đánh cho thằng anh vài trận! Mấy cái thằng anh hùng rơm, nói nhiều mà không chịu đụng nửa chút móng tay."
64,10433999,2878227,3,Oct 19 2015,"Vì hôm trc đọc báo thấy phim ""Tôi thấy hoa vàng trên cỏ xanh"" được giải thưởng phim hay nhất một LHP nào đó. Nên tò mò tìm đọc. Tò mò đấy, vì từ sau ""Cho tôi xin..."" mình tuyệt nhiên không sờ đến Nguyễn Nhật Ánh. Kể ra thì, mình cũng chỉ đọc của ông ý 2 truyện này thôi.Truyện này và truyện đó có nhiều điểm chung, từ phong cách hồi kí, mẩu chuyện tản mạn ko đầu ko cuối, đến tính cách các nhân vật, (kể cả ông chú cũng giống :3). Truyện vẽ ra được khung cảnh và những kỉ niệm đẹp như tranh, nhưng rất tiếc, chọn phong cách hồi kí chân thực nhưng câu chuyện lại không đủ độ chân thực, mà mình luôn nghĩ rằng do không đầu tư đủ tâm trí. Bằng chứng là tưởng tượng bối cảnh và thời gian không khớp. VD trong ""Tôi thấy hoa vàng trên cỏ xanh"", trong khi kiến thức về bệnh phong còn quá hạn hẹp (bệnh phong không chữa được - lời của Thiều) gợi ý thời điểm câu chuyện là những năm 80-90 thì kiến thức về ""biến đổi khí hậu"" (lời của ba Thiều) lại không thể có ở Việt Nam trước năm 2008. Còn trong ""Cho tôi xin một vé đi về tuổi thơ"" thì có thể kể ra vô khối.MÌnh nghĩ, tiểu thuyết phải đặt trong bối cảnh và thời điểm, và đấy phải là bước đầu tiên khi bắt đầu ""tưởng tượng"" để đặt bút. Nhà văn khi viết văn phải sống với bối cảnh và với nhân vật, hoàn toàn nhập vai và thậm chí là vui buồn cùng nhân vật. Chứ không phải hời hợt nửa vời như thế này. Lần trc thì mình quy đấy là sự coi thường độc giả. Giờ nhẹ nhàng hơn, mình nghĩ đây là thói quen làm việc hời hợt thiếu trách nhiệm."
65,10433999,5174568,4,Jan 22 2016,"Đọc xong truyện này mình nghĩ ngay ra câu nói của mẹ mình hay nói "" Tao ngày xưa sống khổ, đâu được sướng như chúng mày bj"". Kỳ thực thì mỗi thời có cái vui, trẻ con, người lớn đều có được trải nghiệm theo cách riêng. Miễn là mình cảm thấy vừa lòng tất yếu sẽ được hạnh phúc. Rồi tất cả sẽ đều thấy hoa vàng trên cỏ xanh!"
66,10433999,2398966,2,Sep 24 2015,"Hừm, nói chung là đọc xong khá thất vọng. Mặc dù trước giờ cũng chưa từng quá thích truyện của Nguyễn Nhật Ánh. Kết cấu truyện rời rạc, dễ đoán, chẳng thấy tí bất ngờ nào cả. Tác giả thì cố làm cho thêm vẻ dễ thương, đáng yêu của tuổi mới lớn mà thấy gượng gạo quá. Mấy chi tiết ở cuối thì quá sức là... hư cấu. Cảm giác như đang đọc truyện cổ tích. Túm lại là chán. Hơn tuần nữa phim ra, mong là Victor Vũ làm được một điều gì đó thú vị hơn."
67,10433999,4339459,3,Apr 01 2017,"<b  <blockquoteÔng chỉ giơ mũi kiếm lên gại gại chỗ bắp chân, chắc có con côn trùng nào đó chích ông..."
68,10433999,5193324,4,Sep 19 2018,"Hay ghê ấy. Mặc dù mình chỉ đọc có 3 cuốn của Nguyễn Nhật Ánh nhưng vẫn thấy thích giọng văn, kiểu viết này quá. Rất nhẹ nhàng, đơn giản nhưng cũng vô cùng dễ mến, dễ đi vào lòng người. Hồi trước đọc được ở đâu đấy đại ý là viết đơn giản và dễ hiểu nhưng vẫn truyền đạt được thông điệp là cực kỳ khó, nhưng mà Nguyễn Nhật Ánh lại làm điều này rất thành công và biến nó thành phong cách của mình luôn. Biết đến bao giờ mình mới viết được thứ văn dễ đọc và đọc thì dễ chịu như này đây?"
