ID_COMMENT,COMMENTS_CONTENT
61,"Đây là cuốn đầu tiên mình đọc của bác NNA. 2/3 cuốn sách mình cảm thấy rất thích thú, nhiều đoạn hài hước, vui vẻ. Nhưng đến đoạn cu Tường bị đánh và đoạn công chúa là thấy nản nản, ko còn sức hấp dẫn, kiểu như bác Ánh đang gom góp lại để đi tới phần kết bài vậy. Nói chung mình chấm 3 sao"
62,"Em đọc quyển này hồi nó mới ra nè, sao em nhớ ai hồi đó cũng khen hay hết á :v gần đây mới chê thôi. Em thấy trong các tác phẩm sau này của NNA em đã đọc thì quyển này hay nhất. Mà công nhận khúc cuối giống phim đài loan vãi chưởng :))) quyển này với quyển sau là Ngồi khóc trên cây, NNA giống như bị xem nhiều phim đài loan quá."
62,ôi true e ơi đọc đoạn kết chị kiểu.... wth :))) là một ẩn ý quá cao siêu của bác mà chị k hiểu đc hay nó bị drama một cách quá đà ??
62,"Mình đọc cuốn này vì mình xem trên youtube của Hà, đây là cuốn đầu tiên mình đọc của bác NNA ( mình đã mua top 4 cuốn Hà recommend). Mình đọc say sưa quên cả thời gian, nhiều đoạn thích thú, hài hước, phê phê rợn da gà... nhưng tới đoạn công chua thấy oải quá, ko còn sức hấp dẫn, cứ như bác Ánh đang gom góp một cách miễn cưỡng để đi đến cái kết vậy.  Ps: mình gia nhập goodread và nghe nhạc lofi theo một video trên youtube của Hà đấy. Bình luận nhiều trên youtube rồi mà ko đc rep bao giờ :crying_face::crying_face::crying_face:"
65,"Rate hẳn 4 sao :D Uh, cũng được :D"
65,4 sao là do xem cả phim nữa.
65,"Sau khi đọc truyện thì mình xem phim thấy hụt hẫng quá, chưa bộc lộ được nét tự nhiên"
65,Ra rạp xem phim cũng vì quá thích tác phẩm :D
67,cảm ơn nhận xét này của bạn
77,Đây là web cho người đọc truyện chứ ko phải để đọc nhá =)))
77,":(( thế ạ, em kb"
77,":(( thế ạ, em kb"
78,Hạnh viết giống những chi tau nghĩ quá.
79,no
79,Pardon me?
91,cho hoi lam sao de tai a
92,"Mình muốn hỏi một chút, bây giờ đọc lại truyện của chú Nguyễn Nhật Ánh bạn có cảm giác khác khi bé đọc ko? Không hiểu sao giờ mình không có đủ kiên nhẫn đọc hết một cuốn truyện khi đọc lại, dù ngày xưa rất thích."
92,"Mình cũng giống y như bạn đấy. Cuốn này mình đọc lần đầu hồi cấp 1, cấp 2 cùng với mấy cuốn khác của Nguyễn Nhật Ánh. Lúc đó đọc cảm thấy rất hay nhưng dạo gần đây đọc lại thì thấy nó hơi nhạt, mình thấy điều đó cũng tất nhiên thôi vì mình không còn ở lứa tuổi của cuốn sách nhắm đến, chứ mấy em học sinh bây giờ đọc mình nghĩ cũng sẽ thích những cuốn như thế này như mình hồi trước thôi."
92,"Thôi cũng mừng, chắc là do mình đã trưởng thành. Haha. Kinh nghiệm là tuổi nào đọc sách tuổi đó, cơ hội qua, sau có đọc cũng ko còn có đc niềm hạnh phúc vì sách hay nữa."
92,"Chính xác :). Nhiều người khi nhìn lại những thứ mình từng thích nay không còn hay, còn đẹp như trong hình dung nữa thì lại quay sang chê cười, chế giễu. Nhưng đối với mình thì đó luôn là những kỷ niệm đẹp, quý giá, nhờ có nó mà mình không thấy lãng phí tuổi thơ của mình :)."
92,Cũng nhờ có những thứ đã làm ở quá khứ mà tạo nên con người chúng ta hôm nay :)
93,Phim này đang quay ở quê mình nên cũng mong chờ lắm. Một phần vì là sách của chú Ánh một phần vì được quay ở quê. Hóng lắm ngày ra rạp :)
95,Đồng ý với bạn nha!
98,"Haha kiểu con trai như vậy ko ít đâu, chẳng qua chị em ko phát hiện ra thôi :3 với cả chắc gì chị em hiện nay đã thích động vật quý hiếm :v"
98,"hìhì, review này chỉ là một phút nông nổi của em thôi, chứ thực ra em cũng chưa có nhiều kiến thức sâu rộng về con trai đâu ạ =]"
102,"truyen nay doc hoi lop 10 doc 2 chap dau cung doan 2 con day la mot lol den cuoi cung cha co j ngac nhien doc ""con chut gi de nho"" di :3"
102,":""&gt; aiyoo, nhận ra sớm thế cơ à. Lúc đầu đọc cứ ngờ ngợ thôi, càng về sau mới càng chắc chắn haha.  Cảm ơn đã recommend book nha. Để kiếm đọc liền ;))"
111,Họ cười chán rồi mới đọc ấy mà :))
111,"Giọng cute lắm~ có mấy đoạn chị ý nghỉ một lúc lâu, chắc đang gồng : }"
114,lam the nao de doc quyen nay ha moi nguoi?
121,(ban sai chinh ta o doan 4 dong 2). Cảm ơn bạn vì các trích dẫn
123,Mấy review của anh hài dã man
123,"Oh yeah, say oh yeah :v :v"
124,":))) haha quyển 4* thì cho 3*, quyển 3* thì cho 4*."
124,Me mình không cho cô a. :(
124,@pan Luckily you delete your comments
131,Giờ mới rated là xaooooo?
131,Thì tại vì hồi chiều mới có sách để mượn đọc :(( Nói láo chết luôn :&lt; Đọc muộn hơn người ta nên tí nữa sẽ viết rv có rễ có cành :3
131,"Tui cũng thích đoạn cuối :(( Nghe nó xúi tự gọi tên mình thì cũng rú lên, xong rồi yên lặng lắng nghe dư âm đồ :""("
135,Mình cũng mới đọc cuốn này gần đây. Các cậu ấy vẫn luôn tuyệt vời như thế nhỉ? Nhiều lúc thực sự chỉ muốn sống như một chú cún mà thôi.
135,Có lẽ đây là 1 trong số ít những cuốn mà mình thích của NNA =)))))
151,làm sao đọc được sách vậy bạn ?
151,mua sách ở ngòai nhà sách rồi đọc nhé :)
151,vậy sách ở đây chỉ có tính chất quảng cáo hình ảnh thui hả bạn ?
151,"Đây có phải là thư viện đâu. chỉ là trang mạng xh dành cho những ng yêu đọc sách lên review, giới thiệu, khoe những sách đã-đang-sẽ đọc thôi. Goodreads k chia sẻ epub nhé."
153,"Một quyển sách vô cùng đáng yêu, một tình bạn trong sáng và tươi đẹp giữa mèo và chuột (Lý ra phải là kẻ thù của nhau). Chúng đã cùng giúp đỡ nhau, chia sẻ vui buồn cho nhau....Nhưng phần kết hơi buồn cho bạn mèo. Dù sao , quả thật là một câu chuyện thua vị và trong sáng :)"
155,"Đôi đang mất cảm giác về truyện cùa Bác Anh, bác tôi ạ."
155,Tại bác đọc nhiều quá à?
155,"Hem phải, mà là đọc Mắt Biếc thì thấy hay quá, cực thích luôn, nhưng đọc thêm hai tác phẩm về Chó, là pet tôi thích nhất, mà viết nhạt quá cho 1* thẳng :raised_hand:, mà k còn nhân nhượng :smiling_face_with_sunglasses::smiling_face_with_sunglasses::smiling_face_with_sunglasses: rồi xong thấy thương đọc thêm Tôi là Bê Tô nữa lại khá hơn một xíu cho 3*. Nên chưa dự định đọc quyển nào của bác. Bác có đọc quyển này hấy impress thì recommend cho tôi, bác đúng hiền luôn, cho 5* quá trời, hem biết quyển nào là favorite of bác luôn @@@"
155,Ê dễ đọc là 5* rồi nhé =)))
155,Quyển nào là favourite hem nói =)))
155,"Ờ Bác xinh gái hơn rồi đó, bớt xinh hen."
155,"Nhưng nói thật tôy thấy quyển này hay mà dễ đọc đó, có những phản ánh về sự thật con người =))) giờ thì tôi hiểu có những cuốn sách là sữa cho trẻ em và là thịt cho người lớn :v"
155,"Ờ tôi hope so như lài bác nói, iêm í đã đc vào booklist. Chờ feedback nha bác."
155,"Bác đừng mong chờ quá, vì có khi những điều chúng ta thấy khác nhau vì góc độ của chúng ta khác nhau =))))"
155,Ok bác tôiiiiiiiiiii
162,"Tình yêu là gì? là có hai con mèo bên cửa sổ một con ngồi yên, một con đổi chỗ."
181,"chuẩn, 1 vote cho Kim Dung"
183,Em đọc tiếp Mắc biếc và Hạ đỏ luôn nhé ^^
183,chắc em sẽ đọc Hạ đỏ trc vì quyển đấy ngắn =)) thanks anh đã rec ạ :’D
184,doc sao chi
185,"@@ Tớ cũng k phải fan j của Bác đâu, kiểu tớ cũng khó tếnh ấy c, nên sách of Bác hem phải quyển nào cũng hay ấy. Haha yêu rồi, chờ trc ghét SG lắm, còn làm thơ để thể hiện cái ghét đó mà, nhưng ở riết xa lạ thành thân thương đó cậu.  Vs hôm tớ đọc Chuyện nhỏ Sài Gòn by Đàm Hà Phú ấy, nên thương lại càng thương :))) Tớ rất Highly Highly recommend Mắt Biếc và quyển này nhaaaaaaaa. Nếu cậu có dự định đọc ^^"
185,"Chời chời đọc đi câu ơi, hayyyyyyyy lắm lắm luôn ấy, thuộc top favorite of tớ, à tớ mới học theo cậu chèn thêm link đó, cậu nghe thử bài hát cùng tên đi :))) tớ thấy thích khi trong audio book có chèn bài hát đó :)))"
185,"Trời ơi, cậu đến đây làm j vâyyyyy??? Yêu lắm Mắt Biếc mà bh mới biết có bài hát diễn tả nỗi buồn đó... Thanks cậu rất nhiều, tớ rất thích sẽ edit review Mắt Biếc để thêm link này kkk"
186,"Mình thì không nghĩ vậy,giải phóng ta tạm xem nó là một biến cố của cuộc đời đi Chỉ có lúc hoạn nạn thì con người mới thể hiện ra bản chất thôi Nếu sau này nam chính bị hoạn nạn thì nhân vật nữ cũng đối xử vậy thôi"
187,doc truyen saon
190,haha bác ấy toàn nhắm trai hiếm mà hành :v
190,Đau khổ là để trưởng thành hơn thôi. Hãy đi tìm tình yêu đích thực đee
207,Truyện nào của Nguyễn Nhật Ánh cũng hay :))))
211,"mình đọc mà thấy nhớ Mắt biếc, có chút gì đó giống giống"
211,Đọc xong bạn sẽ thấy có chút giống cũng có chút khác.
215,đồng ý với bạn khoản triết lý quá nhiều ahuhu đọc thấy nếu lược bỏ chắc chỉ còn 1/3 quyển là cốt truyện.
215,Ôi sao dạo trước mình review gắt thế nhỉ. Giờ mình chỉ dám chê mé mé thôi chứ hổng dám chê lộ liễu vầy đâu =))
227,"Mình thì vẫn luôn ủng hộ kết truyện này của bác. Không phải là sau rất nhiều mệt mỏi, chỉ mong tìm đến một cuốn sách của bác Ánh để thấy cuộc sống nhẹ nhàng và tràn đầy lạc quan sao?"
227,Minh cũng rất thích kết thúc nhẹ nhàng và tràn đầy lạc quan này. Sao lại dẹp tan mọi thiện cảm về hình ảnh cậu nhóc nhỉ?
232,cái kết hp mỹ mãn :')
241,"đúng rồi đó bạn, sách nhìn rõ dày luôn mà đọc tí xíu là xong. MÌnh thấy cuốn Những chàng trai xấu tính là in tiết kiệm nhất :3"
242,"Sách của Nguyễn Nhật Ánh đắt lắm, đấy là điều duy nhất tớ biết :))"
242,Tôi nghĩ không phải giả tạo. Mà ông giữ giọng văn trong trẻo như tâm hồn của trẻ con ngày ấy.
242,2020 và đọc được 1 cái bình luận đúng ý mình :33
243,"Bạn nè, có thể giải thích giúp mình 1 chút được không. Vậy là cuối cùng cô bé Rùa vẫn còn sống đúng không?"
243,"dù đấy là kết thúc mở nhưng theo cách viết của bác Ánh trong rất nhiều quyển sách, cũng như ở đoạn cuối thì mọi chi tiết nêu ra lí do cũng được viết rất chi tiết nữa, nên mình tin là Rùa vẫn còn sống :D"
244,"Ko ưa ổng nhưng thấy cậu cuốn nào mới của tác giả ra lại đọc, đọc rồi chê (như cuốn Hai con mèo chẳng hạn). Nhìn thấy nhiều hành động giống vậy ở nhiều người nhưng ko tỏ động cơ lắm :|"
244,"Không, tớ fan NNA từ nhỏ. Tuổi thơ tớ phần nào gắn với truyện NNA mà. Có điều là những sách gần đây nó không hay hoặc nó đi vào lối mòn quá thôi."
251,Đọc nhanh quá anh ơi :((((((
251,Không có gì là muộn hết chàng trai 26 tuổi ạ
252,Hahaha.  Cau dang o VN a?
252,"Huyen Le wrote: ""Hahaha.  Không, tớ đọc chùa trên mạng thôi=)), chứ vẫn đang ở Mỹ:D"
253,"Truyện đẹp quá, kết có hậu như là cổ tích vậy"
253,"kết cũng khá mở ấy, có thể tin là Rùa còn sống thật, nhưng cũng có thể đấy chỉ là ảo ảnh mà thôi :)"
271,kk
272,hhrzvvcv lpost ssswwwizsseeww wmm wswwsaawzww
306,Ta có quyển này cũng chưa đọc nhưng có vẻ những quyển ra đời sau này chỉ được PR rầm rộ chứ không được lòng độc giả lắm về nội dung nhỉ
306,Chuẩn rồi bạn ơi. :))
310,"Tuổi thơ thật là tươi đẹp m nhỉ ♡ Giá như có 1 lần được trở về, mình sẽ hạnh phúc biết bao :red_heart:"
310,Chắc chúng ta lại phải đọc Cho tôi xin 1 vé đi tuổi thơ của bác NNA rùi m ơi =)))))
316,:(
334,"Đo Đo quán, quận 1"
334,Quán này của bác NNA luôn :))
334,quận 1 có cái quán đó thật á anh :(((((((((((((( huhu
335,"ê chị cũng thích truyện này, nhớ quài tụi nó gọi cái bao là cái bô : ))"
335,em năm 14 tuổi đã điều tra sao đó mà tới tận quán ăn xong đòi bỏ vô cái bô mang zìa nữa đó chài ai đúng là tủi chẻ rồ dại
335,"==))))))))))))))))))))))))))) cái quán có cái bô nó nằm gần cty chị, năm nào cũng đc đi ăn sn xíp hâhaa nhưng bi h thì đã ko còn háo hức zì cái bô : )) Q thặc cute :))"
335,chết mồ chưa có khi nào giữa dòng đời tấp nập ta vô tình ngồi ăn mì quảng trước mặt nhau mà hông hay....
361,"À mà sách bác Ánh là cái kiểu chẳng có gì kịch tính giật thót tim gan phèo phổi mà mình hễ cứ đọc là bị cuốn phăng đi, cứ lật mải miết hết trang này tới trang khác. Vì sao? Vì saoooo?"
361,"Đọc mà buồn nẫu cả ruột. Đọc cuốn này vừa hiểu nhưng cũng buồn, thương, giận Ngà các kiểu :(. Cũng thương Trường lắm. Chỉ là yêu đơn phương thôi mà, có nhất thiết phải trải qua cái kết cục bi đát như vậy ở cái tuổi mới lớn thế không -_-"
361,"Giận Ngà dễ dãi quá chị ơi, tội thằng cu Trường quá chời :(( Em vừa thích Trường vừa ủng hộ mấy trò ranh mãnh của 3 thằng cu í. Tình đầu trong sáng đau đớn ghia. Giá Trường để được Ngà lại phía sau mà bước tiếp thì tốt biết mấy vì dù tội Ngà nhưng hình như Ngà cũng chọn để lại quá khứ sau lưng rồi. Cuốn này em thấy đỡ buồn hơn Mắt biếc được chút chút."
361,"Ừ, Ngà thì để mọi thứ lại phía sau rồi. Còn chuyện dễ dãi, chị nói hiểu thì bởi tâm lý con gái mới lớn, lại gặp đúng loại đàn ông vậy thì chống sao được :( Thương Trường mà. Nó trong sáng, biết đâu lại dính phải cái sự đau lòng bất thình lình như vậy :3"
361,chi.cach doc vs
367,Dạo này đọc tích cực ghê :)))
367,"Tranh thủ anh ạ, em sắp phải ôn thi Đại Học rồi :(((("
367,"Long wrote: ""Quang wrote: ""Dạo này đọc tích cực ghê :)))"" Ừ. Cố lên nha :beaming_face_with_smiling_eyes: Lo ôn đi. Thi xong tha hồ đọc. Còn 2 3 tuần."
367,Năm sau em mới thi mà :v
367,:v vậy mà kêu em ôn thi ĐH :v
367,Ôn thi cho năm sau mới kịp anh ạ :v Chứ đợi đến giờ mới ôn thì đầu quân cho Tú Bà rồi anh :v
368,Thương cô gái ấy. Bây giờ thế giới phẳng rồi. Nhưng vẫn còn một số còn giữ văn hóa cũ. Con gái phải thế này thế kia :grinning_face_with_big_eyes::grinning_face_with_big_eyes::grinning_face_with_big_eyes:
370,chi cach doc vs
450,chi canh doc vs
451,chi cach doc vs
451,"Là sao hả bạn? Mình chưa hiểu ý bạn... - Nếu là đọc ở đâu, thì mình mua sách giấy trên tiki nè - Nếu làm sao để đọc được văn phong của bác NNA, thì cứ tự mặc định bản thân mình là người thích thế giới đơn thuần của trẻ con, đọc để thấy vui, thấy tuổi thơ mình trong đó thôi là được á bạn :)))"
452,Thế nhưng rate 3* ?
452,Vì nó không có gì mới mẻ nên mình chỉ rate 3* đó :)) 7/10 thôi :))
480,"Bạn có thể đọc thêm ""Tôi là Bêto"" nhé, cũng hay lắm"
480,Huyen Pham :))
511,Đầu năm đọc ghê quá.
515,"Em thích cuốn này vì sự hài hước và đơn giản của nó, em thích những câu chuyện như vầy của bác, đừng có yêu đương drama nữa em mệt mỏi quá :)) bác cứ viết hài hài thế này là dc r Còn truyện cho người lớn thì em thích nhất Còn chút gì để nhớ vì nó lấy bối cảnh Sài Gòn trong 1 giai đoạn lịch sử còn ngổn ngang và cách mà chính trị đã xen ngang vào tư duy, tình cảm của đôi bạn trẻ cũng dc thể hiện rất tinh tế. Em đặc biệt thích bối cảnh Sài Gòn mang phong vị hơi xưa xưa cũ cũ như v, ko nhiều truyện bác Ánh nói về Sài Gòn, toàn là ở quê bác miền Trung chủ yếu, chắc tại em yêu Sài Gòn quá nên em mới thích quyển này như v :&gt;"
576,Bạn còn giữ cuốn này không? :)
576,Mình còn. Bạn ở đâu?
599,"Đúng luôn hồi đó cấp I mình toàn đọc truyện của bác Ánh, sau này bác thay đổi phong cách viết quá nên mình cũng ít theo dõi lại..."
599,sau này t đọc văn chương nhiều nên ko hạp bác nữa :3 hic :3 tớ dân Bắc nên sách bác cũng ít lắm hic
612,"Một cuốn truyện mỏng chỉ tốn hơn 1 giờ để đọc xong nhưng mà nó làm người ta buồn man mác. Kì nghỉ hè đáng nhớ của Chương mang theo những kỉ niệm về những người bạn mới. Cách bày tỏ tình cảm của các nhân vật đáng yêu và trong sáng đến lạ kì. Thích nhau mến nhau thì gửi cho nhau vài trái xoài, trái ổi, dạy nhau học bài,.... Nhiều lúc mình cũng ước được sinh ra sớm 1 chút, để được trải nghiệm tình yêu kiểu ngây ngô ở thời chưa có điện thoại và Internet ấy thì hẳn là thú vị lắm. Và điều quan trọng mà mình nghĩ tác giả muốn nhắn gửi là khi bạn yêu một ai đó, hãy tìm cơ hội hợp lí để bộc lộ tình cảm của mình. Vì người ấy đâu phải lúc nào cũng đủ thông minh và tinh tế để nhận ra tình cảm của bạn. Chương mến Út Thêm, ngày ngày chạy tới dạy học cho 2 chị em. Còn cô bé Thơm vô cùng quý mến Chương nên suốt ngày rủ chàng ngốc này qua chơi rồi hái hoa quả cho. Cuối cùng mọi thứ chỉ dừng lại ở những lời nói bóng gió, những hành động yêu thương mà đến lúc chia tay rồi người kia không hề nhận ra, để lại mùa hạ trôi đi với biết bao tiếc nuối."
642,Đọc nhanh ghê bạn ơi :v
642,Mấy nay đang rảnh mà bạn :v
687,hay
687,good!
691,Giờ còn thấy xấu xa không vậy :)))
720,Phải công nhận là sự thiếu tinh tế trong lòng tốt của Thủy tiên cảm giác rất chân thực ấy :)
723,Em thấy đọc sách của bác Ánh lúc nào cũng hay hết ạ ^^ thi thoảng lấy ra đọc lại vẫn thấy rất hài hước
738,"Chuẩn, chị không ghét đâu nhưng cảm giác sách bác Ánh cứ bị một màu ý"
749,Khuya r đi ngủ đi cháu ơi mẹ vào gank bây h =))))))))))
749,@jemjeno má =))
751,khi bạn không đặt mình vào hoành cảnh nhân vật thì làm sao bạn hiểu được
751,"sao lai che do? dang li ra cau phai nghi rang bac Anh mat bao cong suc de viet ra no, chi co nhung nguoi doc ma khong thau hieu tinh cam cua bac ay danh cho doc gia moi xung dang la nhung nguoi khong co tu cach doc truyen cua bac Anh"
751,"toi dong y voi y kien cua 2 ban tren, quan trong la ban biet cam nhan duoc cam xuc trong noi dung cua quyen sach chu khong the che do nhu vay!!-.-"
752,Mình cũng đồng cảm với bạn
762,"Q bị đin hả, update tùm lum làm tao đi like tè le như fan cùn : )) cún NNA đầu tiên mà chị đọc là Trại hoa vàng, hồi đó nhà chị có cái cát xét, nó đọc truyện mỗi tối, cute quá nên ba chị đã dắt đi nhà sách mua nguyên cuốn về đọc, hòi đó là năm 98, 99 nên chắc chị mới có 8,9 tủi, bây giờ đã quên gần hết truyện nhưng cứ nhớ hoài em gái tóc ngắn trên bìa sách, thiệt là ắn tượng khó fai haha"
762,"à chị gái mới đúng chứ ha, chị gái đầu đời tóc ngắn xinh đẹp và cuốn chiện hình như kết thúc hơi bùn nên bi giờ nhớ lại bỗng thí bùn bùn hahaha"
779,LOL
779,Review xuất sắc và hàm ẩn quá ạ :face_with_tears_of_joy:
784,huhu tao ko đi học trường mọi khi nhưng trong lòng tao thằng bắp rang là bạn tao đó!!!
818,vo duyen the ban?
823,"Em biết ngay mà, dạo này bác Ánh càng viết càng xuống, thị trường lắm rồi. May em không mua, ko ham hố!"
824,Haha review đáng yêu quá :xxx
825,":) đồng cảm nhận, cảm giác cuốn này ko ấn tượng một chút nào cả"
826,"Thật vui khi thấy em thích truyện Nguyễn Nhật Ánh, enjoy tuổi hồn nhiên nhé :winking_face:"
826,hic em cảm ơn ạ! :&lt;
826,Đọc truyện ông Ánh viết về mấy con vật cute vc ý. :)
827,Công nhận truyện bác Ánh đọc vèo vèo vèo.
830,"Me too. Chị cũng từng rate, 1* rồi xóa tiệt."
830,Thất vọng tràn trề luôn chị ơi. E đang tính kiếm quyển nào đó của NNA để níu kéo lại cảm xúc đây.
885,Ê tau chưa đọc quyển ni nơi. Mà thấy review ri thì thôi nghỉ phẻ :))
885,"Cảm nhận cá nhân, biết mô mi lại thích :-j"
885,"Bữa ni tau hết thích đọc truyện bác Ánh òi, còn mấy quyển chưa đọc để sẵn trong tủ mà ko biết khi mô mới xong đây."
885,"T đọc mà ko nhớ là đã đọc, kiểu ko 1 tí ấn tượng luôn T_T"
887,Ai tặng dị??
890,"sao mình k thể xem nội dung sách được, bạn chỉ giúp mình với."
949,"Làm bạn với bầu trời là những cảm xúc ngây thơ trong sáng của Tèo dù ở trong hoàn cảnh nào. Điều đó làm cho người đọc cảm thấy yêu đời hơn. Tình cảm của tác giả giành cho Tèo là rất lớn. Từng trang sách là dẫn dắt chúng ta từ bất ngờ này đến bất ngờ khác, làm cho bản thân tôi nhiều lúc nghĩ kết quả về bố của Tèo. Vậy bạn nghĩ bố của Tèo là ai???"
949,"Mình nghĩ bác Ánh không đánh đố bạn đọc nên hông có suy nghĩ chi nhiều. Chú Vịnh đã nói chú không phải là ba Tèo thì mình cũng tin là thế thiệt. Còn nếu buộc phải loại trừ những điều không thể để tìm ra sự thật thì... cái này mình chịu :grinning_face_with_sweat: ba Tèo vẫn là nhân vật bí ẩn. Cơ mà, dù sao Tèo cũng có một người ba yêu thương Tèo hết mực mà ^^ à, đúng ra là hơn cả con số 1 í chứ."
959,từ ngày bác viết sách mỗi năm ra đều đều một quyển mình đã thấy sách nó cứ nhạt nhạt
959,"Bạn Châu còn có kiên nhẫn đọc, từ cái Kính Vạn Hoa là mình đã thấy k thích sách bác Ánh rồi. Nó cứ kiểu gì k hợp với mình ấy."
959,hihi tui bị bịnh ủng hộ tác giả VN dữ lắm bà
959,"Ủng hộ rồi mới đọc thử đó. Còn nếu không thì cũng không sờ đến luôn. Nhưng mà vẫn thấy văn phòng rất khiên cưỡng, kiểu như thật sự không có tâm hồn trẻ thơ nhưng vẫn phải bóp mình thành trẻ thơ. Đọc cứ thấy khó chịu lắm! Chắc tại tui tính tình khó khăn ha ha ha"
982,ôi bác Đán cute cả một bầu trời luônnn
990,"Em thấy câu chữ dài dòng quá, phần tả cảnh khá nhiều, dễ đoán, truyện này hơi nhạt nữa. truyện của bác Ánh chỉ hay ở khúc cuối. Truyện này cũng vậy, có khúc cuối như tia sáng cuối đường hầm"
1010,"Đọc hết mấy review của bạn, rất đáng yêu :D"
1010,haha :v ngại quá không biết trả lời sao lun &gt;&lt; Cảm ơn bạn đã dành thời gian đọc review của mình hen!!
1022,"This looks really fun and I love your review... and I have to say I agree that emotion wins, sometimes when they really, really should and sometimes when they should. Is this available in English?"
